# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 3.000000
#   Number of particles : 10000
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000855            0.030740            0.000515            0.002175            
  0.001099            0.035666            0.000449            0.002644            
  0.001343            0.040159            0.000395            0.001303            
  0.001587            0.044526            0.001213            0.002787            
  0.001832            0.047945            0.000788            0.003530            
  0.002076            0.051283            0.000950            0.005174            
  0.002320            0.055322            0.000731            0.004980            
  0.002564            0.058034            0.001663            0.004239            
  0.002809            0.062312            0.001100            0.006535            
  0.003052            0.065051            0.001527            0.003435            
  0.003297            0.067779            0.001524            0.005340            
  0.003542            0.070610            0.001906            0.008061            
  0.003788            0.074313            0.001978            0.011360            
  0.004032            0.077801            0.001100            0.012133            
  0.004274            0.080538            0.002125            0.007215            
  0.004518            0.083831            0.002249            0.007509            
  0.004762            0.086956            0.003727            0.008011            
  0.005008            0.089972            0.003350            0.012185            

# Order j             0.613 +- 0.006      1.396 +- 0.225      1.082 +- 0.198      
# Factor K            2.280 +- 0.074      4.873 +- 6.080      3.294 +- 3.651      

  0.000366            0.017421            0.000431            0.001109            
  0.000610            0.025402            0.000357            0.000728            
  0.000855            0.030523            0.000775            0.002343            
  0.001099            0.035628            0.000426            0.003078            
  0.001343            0.040090            0.001294            0.001834            
  0.001587            0.044459            0.001348            0.003639            
  0.001832            0.048112            0.001657            0.003744            
  0.002076            0.051597            0.001954            0.005711            
  0.002320            0.055052            0.002500            0.005279            
  0.002564            0.058006            0.002356            0.004669            
  0.002809            0.061559            0.001972            0.008027            
  0.003052            0.065037            0.002563            0.003857            
  0.003297            0.068628            0.002446            0.005871            
  0.003542            0.071155            0.003502            0.009375            
  0.003788            0.074697            0.003456            0.013445            
  0.004032            0.076440            0.003473            0.012910            
  0.004274            0.081130            0.002777            0.009512            
  0.004518            0.084392            0.003918            0.010655            
  0.004762            0.086296            0.004127            0.010341            
  0.005008            0.089673            0.005240            0.014397            

# Order j             0.612 +- 0.006      1.059 +- 0.105      1.183 +- 0.177      
# Factor K            2.267 +- 0.073      1.212 +- 0.713      6.903 +- 6.819      

  0.000366            0.017412            0.000285            0.001138            
  0.000610            0.024882            0.000050            0.000819            
  0.000855            0.030492            0.000506            0.002535            
  0.001099            0.035944            0.000493            0.002847            
  0.001343            0.040323            0.000766            0.001978            
  0.001587            0.044222            0.001138            0.003223            
  0.001832            0.047648            0.001468            0.003777            
  0.002076            0.051384            0.001448            0.005314            
